updateDate,symbol,code,code_name,industry,industryClassification
2026-06-22,SH600000,sh.600000,浦发银行,J66货币金融服务,证监会行业分类
2026-06-22,SH600001,sh.600001,邯郸钢铁,,证监会行业分类
2026-06-22,SH600002,sh.600002,齐鲁石化,,证监会行业分类
2026-06-22,SH600003,sh.600003,ST东北高,,证监会行业分类
2026-06-22,SH600004,sh.600004,白云机场,G56航空运输业,证监会行业分类
2026-06-22,SH600005,sh.600005,武钢股份,,证监会行业分类
2026-06-22,SH600006,sh.600006,东风股份,C36汽车制造业,证监会行业分类
2026-06-22,SH600007,sh.600007,中国国贸,K70房地产业,证监会行业分类
2026-06-22,SH600008,sh.600008,首创环保,D46水的生产和供应业,证监会行业分类
2026-06-22,SH600009,sh.600009,上海机场,G56航空运输业,证监会行业分类
2026-06-22,SH600010,sh.600010,包钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600011,sh.600011,华能国际,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600012,sh.600012,皖通高速,G54道路运输业,证监会行业分类
2026-06-22,SH600015,sh.600015,华夏银行,J66货币金融服务,证监会行业分类
2026-06-22,SH600016,sh.600016,民生银行,J66货币金融服务,证监会行业分类
2026-06-22,SH600017,sh.600017,日照港,G55水上运输业,证监会行业分类
2026-06-22,SH600018,sh.600018,上港集团,G55水上运输业,证监会行业分类
2026-06-22,SH600019,sh.600019,宝钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600020,sh.600020,中原高速,G54道路运输业,证监会行业分类
2026-06-22,SH600021,sh.600021,上海电力,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600022,sh.600022,山东钢铁,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600023,sh.600023,浙能电力,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600025,sh.600025,华能水电,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600026,sh.600026,中远海能,G55水上运输业,证监会行业分类
2026-06-22,SH600027,sh.600027,华电国际,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600028,sh.600028,中国石化,B07石油和天然气开采业,证监会行业分类
2026-06-22,SH600029,sh.600029,南方航空,G56航空运输业,证监会行业分类
2026-06-22,SH600030,sh.600030,中信证券,J67资本市场服务,证监会行业分类
